date_key,date,year,quarter,month,month_name,week_of_year,day,day_name,day_of_week,is_weekend
20210414,2021-04-14,2021,2,4,April,15,14,Wednesday,4,false
20210415,2021-04-15,2021,2,4,April,15,15,Thursday,5,false
20210416,2021-04-16,2021,2,4,April,15,16,Friday,6,false
20210417,2021-04-17,2021,2,4,April,15,17,Saturday,7,true
20210418,2021-04-18,2021,2,4,April,15,18,Sunday,1,true
20210419,2021-04-19,2021,2,4,April,16,19,Monday,2,false
20210420,2021-04-20,2021,2,4,April,16,20,Tuesday,3,false
20210421,2021-04-21,2021,2,4,April,16,21,Wednesday,4,false
20210422,2021-04-22,2021,2,4,April,16,22,Thursday,5,false
20210423,2021-04-23,2021,2,4,April,16,23,Friday,6,false
20210424,2021-04-24,2021,2,4,April,16,24,Saturday,7,true
20210425,2021-04-25,2021,2,4,April,16,25,Sunday,1,true
20210426,2021-04-26,2021,2,4,April,17,26,Monday,2,false
20210427,2021-04-27,2021,2,4,April,17,27,Tuesday,3,false
20210428,2021-04-28,2021,2,4,April,17,28,Wednesday,4,false
20210429,2021-04-29,2021,2,4,April,17,29,Thursday,5,false
20210430,2021-04-30,2021,2,4,April,17,30,Friday,6,false
20210501,2021-05-01,2021,2,5,May,17,1,Saturday,7,true
20210502,2021-05-02,2021,2,5,May,17,2,Sunday,1,true
20210503,2021-05-03,2021,2,5,May,18,3,Monday,2,false
20210504,2021-05-04,2021,2,5,May,18,4,Tuesday,3,false
20210505,2021-05-05,2021,2,5,May,18,5,Wednesday,4,false
20210506,2021-05-06,2021,2,5,May,18,6,Thursday,5,false
20210507,2021-05-07,2021,2,5,May,18,7,Friday,6,false
20210508,2021-05-08,2021,2,5,May,18,8,Saturday,7,true
20210509,2021-05-09,2021,2,5,May,18,9,Sunday,1,true
20210510,2021-05-10,2021,2,5,May,19,10,Monday,2,false
20210511,2021-05-11,2021,2,5,May,19,11,Tuesday,3,false
20210512,2021-05-12,2021,2,5,May,19,12,Wednesday,4,false
20210513,2021-05-13,2021,2,5,May,19,13,Thursday,5,false
20210514,2021-05-14,2021,2,5,May,19,14,Friday,6,false
20210515,2021-05-15,2021,2,5,May,19,15,Saturday,7,true
20210516,2021-05-16,2021,2,5,May,19,16,Sunday,1,true
20210517,2021-05-17,2021,2,5,May,20,17,Monday,2,false
20210518,2021-05-18,2021,2,5,May,20,18,Tuesday,3,false
20210519,2021-05-19,2021,2,5,May,20,19,Wednesday,4,false
20210520,2021-05-20,2021,2,5,May,20,20,Thursday,5,false
20210521,2021-05-21,2021,2,5,May,20,21,Friday,6,false
20210522,2021-05-22,2021,2,5,May,20,22,Saturday,7,true
20210523,2021-05-23,2021,2,5,May,20,23,Sunday,1,true
20210524,2021-05-24,2021,2,5,May,21,24,Monday,2,false
20210525,2021-05-25,2021,2,5,May,21,25,Tuesday,3,false
20210526,2021-05-26,2021,2,5,May,21,26,Wednesday,4,false
20210527,2021-05-27,2021,2,5,May,21,27,Thursday,5,false
20210528,2021-05-28,2021,2,5,May,21,28,Friday,6,false
20210529,2021-05-29,2021,2,5,May,21,29,Saturday,7,true
20210530,2021-05-30,2021,2,5,May,21,30,Sunday,1,true
20210531,2021-05-31,2021,2,5,May,22,31,Monday,2,false
20210601,2021-06-01,2021,2,6,June,22,1,Tuesday,3,false
20210602,2021-06-02,2021,2,6,June,22,2,Wednesday,4,false
20210603,2021-06-03,2021,2,6,June,22,3,Thursday,5,false
20210604,2021-06-04,2021,2,6,June,22,4,Friday,6,false
20210605,2021-06-05,2021,2,6,June,22,5,Saturday,7,true
20210606,2021-06-06,2021,2,6,June,22,6,Sunday,1,true
20210607,2021-06-07,2021,2,6,June,23,7,Monday,2,false
20210608,2021-06-08,2021,2,6,June,23,8,Tuesday,3,false
20210609,2021-06-09,2021,2,6,June,23,9,Wednesday,4,false
20210610,2021-06-10,2021,2,6,June,23,10,Thursday,5,false
20210611,2021-06-11,2021,2,6,June,23,11,Friday,6,false
20210612,2021-06-12,2021,2,6,June,23,12,Saturday,7,true
20210613,2021-06-13,2021,2,6,June,23,13,Sunday,1,true
20210614,2021-06-14,2021,2,6,June,24,14,Monday,2,false
20210615,2021-06-15,2021,2,6,June,24,15,Tuesday,3,false
20210616,2021-06-16,2021,2,6,June,24,16,Wednesday,4,false
20210617,2021-06-17,2021,2,6,June,24,17,Thursday,5,false
